Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (døgn),Maksimumstemperatur (døgn),Minimumstemperatur (døgn)
Oslo - Blindern,SN18700,10.02.2024,-8,-7.3,-9.3
Tromsø,SN90450,10.02.2024,-5.9,-4,-7.4
Oslo - Blindern,SN18700,11.02.2024,-5.1,-4.2,-7.6
Tromsø,SN90450,11.02.2024,-3.2,-1.9,-5.3
Oslo - Blindern,SN18700,12.02.2024,-4.3,-3.2,-5.9
Tromsø,SN90450,12.02.2024,-6.1,-3.7,-8.3
Oslo - Blindern,SN18700,13.02.2024,-3.5,0,-4
Tromsø,SN90450,13.02.2024,-4,-3.3,-7.5
Oslo - Blindern,SN18700,14.02.2024,-1.4,0.7,-4.9
Tromsø,SN90450,14.02.2024,-5,-1.2,-8
Oslo - Blindern,SN18700,15.02.2024,0.6,2,-0.9
Tromsø,SN90450,15.02.2024,-4.3,-3.1,-8.5
Oslo - Blindern,SN18700,16.02.2024,1.3,1.8,0.5
Tromsø,SN90450,16.02.2024,-1.8,0.1,-3.5
Oslo - Blindern,SN18700,17.02.2024,0.4,5.7,-2.6
Tromsø,SN90450,17.02.2024,-4.4,-2.2,-6.3
Oslo - Blindern,SN18700,18.02.2024,-0.8,0.2,-3.6
Tromsø,SN90450,18.02.2024,-2.5,-1.9,-5.3
Oslo - Blindern,SN18700,19.02.2024,0.1,3.8,-0.8
Tromsø,SN90450,19.02.2024,-0.3,0.7,-2.5
Oslo - Blindern,SN18700,20.02.2024,-0.9,0,-1.6
Tromsø,SN90450,20.02.2024,-2.4,0,-3.4
Oslo - Blindern,SN18700,21.02.2024,1.1,3.4,-0.5
Tromsø,SN90450,21.02.2024,-1,2.4,-5.4
Oslo - Blindern,SN18700,22.02.2024,3.6,4.2,0.3
Tromsø,SN90450,22.02.2024,-0.1,2.5,-3.7
Oslo - Blindern,SN18700,23.02.2024,3.5,4.5,2.4
Tromsø,SN90450,23.02.2024,0.3,3.8,-3.7
Oslo - Blindern,SN18700,24.02.2024,3.2,4.5,2.4
Tromsø,SN90450,24.02.2024,4.7,6.2,2.2
Oslo - Blindern,SN18700,25.02.2024,2.7,3.7,1.9
Tromsø,SN90450,25.02.2024,3.7,5.7,3.1
Oslo - Blindern,SN18700,26.02.2024,1.7,5.3,-0.3
Tromsø,SN90450,26.02.2024,1.3,4,-0.3
Oslo - Blindern,SN18700,27.02.2024,0.9,3.3,-1.7
Tromsø,SN90450,27.02.2024,1.5,2.7,-0.2
Oslo - Blindern,SN18700,28.02.2024,3.5,6.9,1.9
Tromsø,SN90450,28.02.2024,2.5,4.4,1.1
Oslo - Blindern,SN18700,29.02.2024,3.8,4.4,2.1
